,host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,bedrooms_na,bathrooms_na,beds_na,review_scores_rating_na,review_scores_accuracy_na,review_scores_cleanliness_na,review_scores_checkin_na,review_scores_communication_na,review_scores_location_na,review_scores_value_na
51,f,moderate,f,1.0,Mission,37.75117,-122.41326,Apartment,Entire home/apt,2.0,1.5,1.0,1.0,Futon,30.0,10.0,90.0,9.0,9.0,10.0,10.0,10.0,9.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,f,super_strict_30,f,35.0,Potrero Hill,37.75447,-122.38813,Guest suite,Entire home/apt,3.0,1.0,2.0,2.0,Real Bed,30.0,2.0,80.0,5.0,8.0,10.0,8.0,7.0,8.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,f,super_strict_30,f,35.0,Haight Ashbury,37.77272,-122.44084,Guest suite,Entire home/apt,3.0,1.0,2.0,2.0,Real Bed,30.0,8.0,56.0,8.0,7.0,8.0,7.0,7.0,7.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,t,strict_14_with_grace_period,f,2.0,Mission,37.75145,-122.41207,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,280.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,f,strict_14_with_grace_period,f,2.0,Mission,37.75121,-122.42165,Apartment,Entire home/apt,4.0,1.0,1.0,2.0,Real Bed,31.0,3.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
56,f,moderate,f,4.0,Castro/Upper Market,37.76068,-122.43331,Apartment,Entire home/apt,2.0,1.0,0.0,2.0,Real Bed,3.0,121.0,94.0,10.0,9.0,10.0,10.0,10.0,9.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,t,moderate,t,3.0,Western Addition,37.77248,-122.43016,House,Private room,2.0,3.0,1.0,1.0,Real Bed,2.0,96.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,t,strict_14_with_grace_period,f,1.0,Ocean View,37.72536,-122.46861,House,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,29.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,t,moderate,f,9.0,Pacific Heights,37.7925,-122.42431,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,25.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,t,moderate,f,2.0,South of Market,37.77116,-122.42199,Apartment,Private room,2.0,1.0,1.0,1.0,Real Bed,2.0,151.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,t,strict_14_with_grace_period,t,1.0,Western Addition,37.77121,-122.42834,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,105.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,t,moderate,f,9.0,Pacific Heights,37.79312,-122.426,Apartment,Private room,1.0,0.0,1.0,1.0,Real Bed,30.0,160.0,92.0,10.0,9.0,10.0,10.0,10.0,9.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,t,moderate,f,1.0,Nob Hill,37.79667,-122.41272,Apartment,Private room,1.0,1.0,1.0,1.0,Real Bed,30.0,166.0,89.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,t,strict_14_with_grace_period,f,3.0,Bernal Heights,37.73878,-122.41189,House,Private room,2.0,1.0,1.0,1.0,Real Bed,3.0,125.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,f,strict_14_with_grace_period,t,1.0,Financial District,37.7933,-122.40079,Condominium,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,17.0,89.0,10.0,9.0,9.0,10.0,10.0,10.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,t,moderate,f,9.0,Pacific Heights,37.79166,-122.4265,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,38.0,93.0,9.0,9.0,10.0,10.0,10.0,9.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,t,strict_14_with_grace_period,f,4.0,Outer Richmond,37.77959,-122.48619,Apartment,Entire home/apt,4.0,1.0,1.0,2.0,Real Bed,30.0,10.0,94.0,10.0,10.0,10.0,10.0,9.0,10.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,t,strict_14_with_grace_period,f,4.0,Twin Peaks,37.74889,-122.44479,Apartment,Entire home/apt,4.0,1.0,1.0,2.0,Real Bed,30.0,26.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,t,moderate,f,9.0,Pacific Heights,37.79216,-122.42458,Apartment,Private room,1.0,1.0,1.0,1.0,Real Bed,30.0,120.0,92.0,9.0,8.0,10.0,10.0,10.0,9.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,f,strict_14_with_grace_period,t,2.0,Downtown/Civic Center,37.78816,-122.41722,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,Real Bed,3.0,82.0,96.0,10.0,9.0,10.0,10.0,9.0,10.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,f,moderate,f,1.0,Haight Ashbury,37.77459,-122.43923,Apartment,Entire home/apt,5.0,2.0,2.0,3.0,Real Bed,31.0,152.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,f,strict_14_with_grace_period,f,1.0,Bernal Heights,37.7472,-122.41443,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,213.0,92.0,10.0,9.0,10.0,9.0,9.0,9.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,f,strict_14_with_grace_period,t,4.0,Mission,37.75762,-122.41933,Apartment,Private room,1.0,1.0,1.0,1.0,Real Bed,2.0,108.0,94.0,9.0,9.0,10.0,9.0,10.0,9.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,f,moderate,t,4.0,Russian Hill,37.8031,-122.41596,Condominium,Private room,4.0,2.0,1.0,1.0,Real Bed,2.0,220.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,t,flexible,t,1.0,Bernal Heights,37.74209,-122.41409,Cottage,Private room,2.0,1.0,1.0,1.0,Futon,2.0,185.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,f,strict_14_with_grace_period,f,1.0,Outer Sunset,37.75674,-122.49178,House,Private room,2.0,1.0,1.0,1.0,Real Bed,60.0,1.0,20.0,10.0,10.0,10.0,2.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
77,t,moderate,t,2.0,North Beach,37.80241,-122.40925,Condominium,Private room,2.0,1.0,1.0,1.0,Real Bed,2.0,194.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,t,moderate,f,2.0,Glen Park,37.74183,-122.42993,Apartment,Private room,1.0,1.0,1.0,1.0,Real Bed,3.0,35.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,t,strict_14_with_grace_period,t,4.0,Mission,37.74926,-122.41398,Guest suite,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,2.0,295.0,93.0,10.0,10.0,10.0,10.0,10.0,9.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,f,strict_14_with_grace_period,t,4.0,Mission,37.754,-122.41771,Guest suite,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,2.0,210.0,93.0,9.0,9.0,10.0,10.0,10.0,9.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,t,flexible,f,1.0,Marina,37.80317,-122.42874,Apartment,Private room,2.0,2.0,1.0,1.0,Real Bed,30.0,65.0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,f,strict_14_with_grace_period,f,1.0,Inner Richmond,37.77798,-122.47812,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,Real Bed,30.0,96.0,83.0,9.0,9.0,10.0,9.0,9.0,8.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,f,super_strict_30,f,35.0,Outer Richmond,37.77719,-122.50906,Apartment,Entire home/apt,6.0,2.0,3.0,4.0,Real Bed,30.0,12.0,96.0,9.0,10.0,10.0,10.0,9.0,9.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,t,strict_14_with_grace_period,t,7.0,Mission,37.75426,-122.42387,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,31.0,35.0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,t,moderate,f,1.0,Inner Richmond,37.77442,-122.46319,House,Entire home/apt,2.0,1.0,2.0,2.0,Real Bed,30.0,50.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,f,strict_14_with_grace_period,f,41.0,Excelsior,37.73027,-122.42644,House,Private room,2.0,1.0,1.0,1.0,Real Bed,30.0,39.0,91.0,9.0,9.0,10.0,9.0,9.0,9.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,f,strict_14_with_grace_period,f,41.0,Excelsior,37.73128,-122.42478,House,Private room,2.0,1.0,1.0,1.0,Real Bed,30.0,26.0,82.0,8.0,8.0,8.0,9.0,8.0,8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,f,super_strict_30,f,35.0,Seacliff,37.77707,-122.50923,Apartment,Entire home/apt,4.0,2.0,3.0,3.0,Real Bed,30.0,7.0,93.0,9.0,8.0,9.0,9.0,9.0,8.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,f,strict_14_with_grace_period,f,2.0,Bernal Heights,37.74527,-122.42424,Apartment,Entire home/apt,3.0,1.0,1.0,1.0,Real Bed,31.0,10.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
